year  mon  day  hour  min  bmp180_temp  bmp180_pres  bmp180_slp  bmp180_alt  bmp280_temp  bmp280_pres  bmp280_slp  bmp280_alt  bme_temp  bme_pres  bme_slp  bme_alt  bme_hum  htu_temp  htu_hum  mcp9808  tipping  vis_light  ir_light  uv_light  wind_dir  wind_speed
2022   03   31    00   00      -999.99      -999.99     -999.99     -999.99        27.38       650.51      662.36      159.00   -999.99   -999.99  -999.99  -999.99  -999.99     10.80    74.00  -999.99     0.00     258.00    253.00      1.00      0.00     -999.99
2022   03   31    00   01      -999.99      -999.99     -999.99     -999.99      -999.99      -999.99     -999.99     -999.99   -999.99   -999.99  -999.99  -999.99  -999.99     10.80    74.00  -999.99     0.00     259.00    253.00      1.00      0.00     -999.99
2022   03   31    00   02      -999.99      -999.99     -999.99     -999.99      -999.99      -999.99     -999.99     -999.99   -999.99   -999.99  -999.99  -999.99  -999.99     10.80    74.10  -999.99     0.00     260.00    253.00      2.00      0.00     -999.99
2022   03   31    00   03      -999.99      -999.99     -999.99     -999.99      -999.99      -999.99     -999.99     -999.99   -999.99   -999.99  -999.99  -999.99  -999.99     10.80    74.20  -999.99     0.00     260.00    252.00      2.00      0.00     -999.99
2022   03   31    00   04      -999.99      -999.99     -999.99     -999.99      -999.99      -999.99     -999.99     -999.99   -999.99   -999.99  -999.99  -999.99  -999.99     10.80    74.40  -999.99     0.00     261.00    253.00      2.00      0.00     -999.99
2022   03   31    00   05      -999.99      -999.99     -999.99     -999.99      -999.99      -999.99     -999.99     -999.99   -999.99   -999.99  -999.99  -999.99  -999.99     10.80    74.40  -999.99     0.00     261.00    254.00      2.00    345.00     -999.99
2022   03   31    00   06      -999.99      -999.99     -999.99     -999.99      -999.99      -999.99     -999.99     -999.99   -999.99   -999.99  -999.99  -999.99  -999.99     10.80    74.10  -999.99     0.00     260.00    253.00      2.00      0.00     -999.99
2022   03   31    00   07      -999.99      -999.99     -999.99     -999.99      -999.99      -999.99     -999.99     -999.99   -999.99   -999.99  -999.99  -999.99  -999.99     10.80    74.20  -999.99     0.00     260.00    254.00      2.00      0.00     -999.99
2022   03   31    00   08      -999.99      -999.99     -999.99     -999.99      -999.99      -999.99     -999.99     -999.99   -999.99   -999.99  -999.99  -999.99  -999.99     10.80    74.40  -999.99     0.00     261.00    253.00      2.00      0.00     -999.99
2022   03   31    00   09      -999.99      -999.99     -999.99     -999.99      -999.99      -999.99     -999.99     -999.99   -999.99   -999.99  -999.99  -999.99  -999.99     10.80    74.50  -999.99     0.00     260.00    254.00      2.00      0.00     -999.99
